,event_time,product_id,price,SALES,Product Name,language,Merchant category,descprition,customer satisfaction,Conversion Status,status
1,2019-01-01 00:00:00 UTC,5764655,385000€,385000,properties,English(uk),520,General Contractors?esidential and Commercial,1,Converted,yes
2,2019-02-02 00:00:02 UTC,4958,185001€,383200,air condition,English(uk),1711,"Air Conditioning, Heating and Plumbing Contractors",2,Not Converted,NO
3,2019-03-03 00:00:05 UTC,5848413,235002€,381100,fan,English(uk),1731,Electrical Contractors ,3,Converted,yes
4,2019-04-04 00:00:07 UTC,5824148,345003€,385000,table,English(uk),1740,"Insulation, Masonry, Plastering, Stonework and Tile",4,Not Converted,NO
5,2019-05-05 00:00:09 UTC,5773361,125004€,115000,books,English(uk),1750,Setting Contractors,5,Converted,yes
6,2019-06-06 00:00:18 UTC,5629988,455005€,125000,laptop,English(uk),1761," Roofing and Siding, Sheet Metal Work Contractors",1,Converted,yes
7,2019-07-07 00:00:22 UTC,5807805,125006€,135000,monitor,English(uk),1771, Concrete Work Contractors,2,Not Converted,NO
8,2019-08-08 00:00:27 UTC,5588608,655007€,145000,oven,English(uk),1799,"Contractors, Special Trade Contractors?ot",3,Converted,yes
9,2019-09-09 00:00:34 UTC,5335,105008€,165000,printer,English(uk),2741, Miscellaneous Publishing and Printing,4,Converted,yes
10,2019-10-10 00:00:40 UTC,5755170,346623€,175000,tv,English(uk),2791,"Typesetting, Plate Making and Related Services",5,Converted,yes
11,2019-01-01 00:00:00 UTC,5764655,385000€,215000,properties,English(us),520,General Contractors?esidential and Commercial,1,Not Converted,no
12,2019-02-02 00:00:02 UTC,4958,185001€,435000,air condition,English(us),1711,"Air Conditioning, Heating and Plumbing Contractors",2,Converted,YES
13,2019-03-03 00:00:05 UTC,5848413,235002€,435000,fan,English(us),1731,Electrical Contractors ,3,Not Converted,no
14,2019-04-04 00:00:07 UTC,5824148,345003€,455000,table,English(us),1740,"Insulation, Masonry, Plastering, Stonework and Tile",4,Not Converted,no
15,2019-01-01 00:00:00 UTC,5755170,385000€,225000,properties,DUTCH(NL),520,General Contractors?esidential and Commercial,5,Not Converted,no
16,2019-02-02 00:00:02 UTC,5694628,185001€,335000,air condition,DUTCH(NL),1711,"Air Conditioning, Heating and Plumbing Contractors",1,Converted,YES
17,2019-01-01 00:00:00 UTC,3936,385000€,345000,properties,French,520,General Contractors?esidential and Commercial,2,Not Converted,no
18,2019-02-02 00:00:02 UTC,5761411,185001€,655000,air condition,French,1711,"Air Conditioning, Heating and Plumbing Contractors",3,Not Converted,no
19,2019-03-01 00:00:58 UTC,5761411,385000€,555000,properties,German,520,General Contractors?esidential and Commercial,4,Converted,YES
20,2019-12-01 00:00:58 UTC,5817779,185001€,655000,air condition,German,1711,"Air Conditioning, Heating and Plumbing Contractors",5,Not Converted,no
21,2019-12-01 00:01:01 UTC,5832416,385000€,995000,properties,German,520,General Contractors?esidential and Commercial,1,Not Converted,no
22,2019-01-01 00:00:00 UTC,5706778,185001€,995000,air condition,Ilatian,1711,"Air Conditioning, Heating and Plumbing Contractors",2,Not Converted,no
23,2019-02-02 00:00:02 UTC,5849033,346623€,905000,tv,Ilatian,2791,"Typesetting, Plate Making and Related Services",3,Converted,YES
24,2019-01-01 00:00:00 UTC,5904369,455005€,975000,laptop,polish,1761," Roofing and Siding, Sheet Metal Work Contractors",4,Not Converted,no
25,2019-02-02 00:00:02 UTC,5881896,125006€,765000,monitor,polish,1771, Concrete Work Contractors,5,Not Converted,no
26,2019-03-01 00:01:16 UTC,5742926,655007€,875000,oven,polish,1799,"Contractors, Special Trade Contractors?ot",1,Converted,YES
27,2019-12-01 00:01:19 UTC,5600449,346623€,125000,tv,portuguese,2791,"Typesetting, Plate Making and Related Services",2,Not Converted,no
28,2019-12-01 00:01:19 UTC,5614842,655007€,165000,oven,spanish,1799,"Contractors, Special Trade Contractors?ot",3,Not Converted,no
29,2019-01-01 00:00:00 UTC,5666749,105008€,845000,printer,swedish,2741, Miscellaneous Publishing and Printing,3,Converted,YES
30,2019-02-02 00:00:02 UTC,5847872,346623€,745000,tv,swedish,2791,"Typesetting, Plate Making and Related Services",4,Not Converted,no
31,2019-03-01 00:01:34 UTC,5847872,345003€,455000,table,swedish,1740,"Insulation, Masonry, Plastering, Stonework and Tile",5,Not Converted,no
,,,,,,,,,4,Converted,YES
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3.02,,,,,,,,,,,
0.98,,,,,,,,,,,
3.95,,,,,,,,,,,
0.98,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
0.95,,,,,,,,,,,
63.33,,,,,,,,,,,
1.59,,,,,,,,,,,
2.14,,,,,,,,,,,
2.38,,,,,,,,,,,
1.75,,,,,,,,,,,
6.19,,,,,,,,,,,
8.73,,,,,,,,,,,
1.27,,,,,,,,,,,
1.27,,,,,,,,,,,
5.24,,,,,,,,,,,
1.43,,,,,,,,,,,
0.98,,,,,,,,,,,
2.19,,,,,,,,,,,
0.98,,,,,,,,,,,
15.87,,,,,,,,,,,
4.44,,,,,,,,,,,
0.98,,,,,,,,,,,
0.98,,,,,,,,,,,
1.27,,,,,,,,,,,
1.43,,,,,,,,,,,
0.13,,,,,,,,,,,
1.43,,,,,,,,,,,
3.32,,,,,,,,,,,
0.16,,,,,,,,,,,
2.19,,,,,,,,,,,
1.43,,,,,,,,,,,
1.27,,,,,,,,,,,
5.24,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
1.19,,,,,,,,,,,
14.29,,,,,,,,,,,
0.79,,,,,,,,,,,
1.56,,,,,,,,,,,
7.46,,,,,,,,,,,
4.76,,,,,,,,,,,
0.79,,,,,,,,,,,
5.54,,,,,,,,,,,
1.27,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
0.57,,,,,,,,,,,
3,,,,,,,,,,,
5.08,,,,,,,,,,,
1.59,,,,,,,,,,,
1.43,,,,,,,,,,,
60.32,,,,,,,,,,,
1.27,,,,,,,,,,,
1.43,,,,,,,,,,,
31.73,,,,,,,,,,,
3.97,,,,,,,,,,,
2.38,,,,,,,,,,,
0.79,,,,,,,,,,,
0.54,,,,,,,,,,,
1.59,,,,,,,,,,,
8.73,,,,,,,,,,,
30.95,,,,,,,,,,,
2.38,,,,,,,,,,,
2.38,,,,,,,,,,,
1.43,,,,,,,,,,,
5.24,,,,,,,,,,,
2.38,,,,,,,,,,,
4.27,,,,,,,,,,,
4.29,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
1.43,,,,,,,,,,,
1.75,,,,,,,,,,,
1.43,,,,,,,,,,,
5.76,,,,,,,,,,,
1.43,,,,,,,,,,,
6.89,,,,,,,,,,,
1.43,,,,,,,,,,,
1.56,,,,,,,,,,,
4.29,,,,,,,,,,,
5.24,,,,,,,,,,,
3.97,,,,,,,,,,,
4.29,,,,,,,,,,,
7.46,,,,,,,,,,,
2.37,,,,,,,,,,,
6.29,,,,,,,,,,,
0.54,,,,,,,,,,,
6.27,,,,,,,,,,,
2.37,,,,,,,,,,,
5.54,,,,,,,,,,,
1.59,,,,,,,,,,,
0.95,,,,,,,,,,,
2.37,,,,,,,,,,,
0.79,,,,,,,,,,,
1.59,,,,,,,,,,,
5.54,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
3.17,,,,,,,,,,,
2.86,,,,,,,,,,,
1.59,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
7.71,,,,,,,,,,,
11.03,,,,,,,,,,,
1.43,,,,,,,,,,,
2.86,,,,,,,,,,,
2.22,,,,,,,,,,,
1.43,,,,,,,,,,,
7.71,,,,,,,,,,,
11.03,,,,,,,,,,,
7.71,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
2.37,,,,,,,,,,,
1.43,,,,,,,,,,,
3.17,,,,,,,,,,,
3.02,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
5.54,,,,,,,,,,,
3.02,,,,,,,,,,,
1.43,,,,,,,,,,,
4.27,,,,,,,,,,,
1.43,,,,,,,,,,,
5.54,,,,,,,,,,,
1.43,,,,,,,,,,,
2.37,,,,,,,,,,,
3.02,,,,,,,,,,,
153.17,,,,,,,,,,,
1.43,,,,,,,,,,,
137.78,,,,,,,,,,,
4.27,,,,,,,,,,,
1.43,,,,,,,,,,,
6.81,,,,,,,,,,,
9.21,,,,,,,,,,,
0.79,,,,,,,,,,,
6.35,,,,,,,,,,,
1.43,,,,,,,,,,,
3.02,,,,,,,,,,,
1.27,,,,,,,,,,,
1.43,,,,,,,,,,,
5.56,,,,,,,,,,,
1.43,,,,,,,,,,,
2.06,,,,,,,,,,,
54.76,,,,,,,,,,,
1.43,,,,,,,,,,,
4.92,,,,,,,,,,,
2.37,,,,,,,,,,,
1.43,,,,,,,,,,,
5.56,,,,,,,,,,,
2.37,,,,,,,,,,,
1.43,,,,,,,,,,,
4.44,,,,,,,,,,,
1.43,,,,,,,,,,,
0.79,,,,,,,,,,,
6.81,,,,,,,,,,,
4.92,,,,,,,,,,,
2.37,,,,,,,,,,,
194.44,,,,,,,,,,,
5.71,,,,,,,,,,,
1.27,,,,,,,,,,,
5.38,,,,,,,,,,,
5.24,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
2.06,,,,,,,,,,,
4.44,,,,,,,,,,,
1.43,,,,,,,,,,,
2.37,,,,,,,,,,,
5.4,,,,,,,,,,,
3.97,,,,,,,,,,,
0.79,,,,,,,,,,,
3.97,,,,,,,,,,,
3.97,,,,,,,,,,,
1.43,,,,,,,,,,,
9.21,,,,,,,,,,,
3.97,,,,,,,,,,,
3.97,,,,,,,,,,,
1.1,,,,,,,,,,,
0.79,,,,,,,,,,,
5.87,,,,,,,,,,,
1.1,,,,,,,,,,,
9.51,,,,,,,,,,,
0.79,,,,,,,,,,,
1.1,,,,,,,,,,,
2.46,,,,,,,,,,,
1.43,,,,,,,,,,,
1.1,,,,,,,,,,,
5.56,,,,,,,,,,,
1.29,,,,,,,,,,,
1.1,,,,,,,,,,,
1.75,,,,,,,,,,,
1.51,,,,,,,,,,,
1.43,,,,,,,,,,,
1.1,,,,,,,,,,,
1.1,,,,,,,,,,,
1.43,,,,,,,,,,,
3.11,,,,,,,,,,,
1.1,,,,,,,,,,,
1.43,,,,,,,,,,,
1.1,,,,,,,,,,,
8.76,,,,,,,,,,,
98.4,,,,,,,,,,,
5.56,,,,,,,,,,,
49.21,,,,,,,,,,,
1.1,,,,,,,,,,,
0.79,,,,,,,,,,,
1.1,,,,,,,,,,,
1.43,,,,,,,,,,,
3.11,,,,,,,,,,,
1.1,,,,,,,,,,,
5.16,,,,,,,,,,,
4.76,,,,,,,,,,,
1.1,,,,,,,,,,,
5.56,,,,,,,,,,,
5.16,,,,,,,,,,,
1.75,,,,,,,,,,,
5.16,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
6.27,,,,,,,,,,,
1.59,,,,,,,,,,,
1.59,,,,,,,,,,,
1.75,,,,,,,,,,,
1.43,,,,,,,,,,,
5.56,,,,,,,,,,,
1.43,,,,,,,,,,,
2.37,,,,,,,,,,,
5.24,,,,,,,,,,,
1.35,,,,,,,,,,,
4.76,,,,,,,,,,,
0.25,,,,,,,,,,,
1.35,,,,,,,,,,,
6.03,,,,,,,,,,,
5,,,,,,,,,,,
1.75,,,,,,,,,,,
7.94,,,,,,,,,,,
1.59,,,,,,,,,,,
1.51,,,,,,,,,,,
5.24,,,,,,,,,,,
15.08,,,,,,,,,,,
4.44,,,,,,,,,,,
4.29,,,,,,,,,,,
2.38,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
7.3,,,,,,,,,,,
4.44,,,,,,,,,,,
1.59,,,,,,,,,,,
1.75,,,,,,,,,,,
1.27,,,,,,,,,,,
0.37,,,,,,,,,,,
0.38,,,,,,,,,,,
0.38,,,,,,,,,,,
1.59,,,,,,,,,,,
16.21,,,,,,,,,,,
6.35,,,,,,,,,,,
1.75,,,,,,,,,,,
0.38,,,,,,,,,,,
1.43,,,,,,,,,,,
0.38,,,,,,,,,,,
9.44,,,,,,,,,,,
1.43,,,,,,,,,,,
0.38,,,,,,,,,,,
0.38,,,,,,,,,,,
5.4,,,,,,,,,,,
0.51,,,,,,,,,,,
1.43,,,,,,,,,,,
2.38,,,,,,,,,,,
16.03,,,,,,,,,,,
1.59,,,,,,,,,,,
3.97,,,,,,,,,,,
1.43,,,,,,,,,,,
1.27,,,,,,,,,,,
10.32,,,,,,,,,,,
1.75,,,,,,,,,,,
0.38,,,,,,,,,,,
3,,,,,,,,,,,
0.38,,,,,,,,,,,
1.59,,,,,,,,,,,
1.75,,,,,,,,,,,
1.59,,,,,,,,,,,
3.97,,,,,,,,,,,
2.54,,,,,,,,,,,
1.43,,,,,,,,,,,
3.97,,,,,,,,,,,
1.43,,,,,,,,,,,
1.43,,,,,,,,,,,
1.75,,,,,,,,,,,
1.27,,,,,,,,,,,
4.29,,,,,,,,,,,
2.38,,,,,,,,,,,
11.33,,,,,,,,,,,
1.43,,,,,,,,,,,
0.41,,,,,,,,,,,
6.33,,,,,,,,,,,
3,,,,,,,,,,,
1.43,,,,,,,,,,,
2.06,,,,,,,,,,,
15.71,,,,,,,,,,,
0.48,,,,,,,,,,,
1.27,,,,,,,,,,,
1.75,,,,,,,,,,,
3.49,,,,,,,,,,,
0.48,,,,,,,,,,,
1.43,,,,,,,,,,,
4.76,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
1.05,,,,,,,,,,,
0.48,,,,,,,,,,,
1.43,,,,,,,,,,,
0.48,,,,,,,,,,,
1.59,,,,,,,,,,,
3.95,,,,,,,,,,,
6.08,,,,,,,,,,,
1.05,,,,,,,,,,,
3.97,,,,,,,,,,,
0.79,,,,,,,,,,,
0.48,,,,,,,,,,,
1.43,,,,,,,,,,,
0.79,,,,,,,,,,,
5.79,,,,,,,,,,,
0.79,,,,,,,,,,,
1.27,,,,,,,,,,,
0.79,,,,,,,,,,,
0.48,,,,,,,,,,,
1.75,,,,,,,,,,,
4.29,,,,,,,,,,,
4.68,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
0.48,,,,,,,,,,,
0.32,,,,,,,,,,,
3.11,,,,,,,,,,,
21.78,,,,,,,,,,,
7.94,,,,,,,,,,,
5.24,,,,,,,,,,,
5.79,,,,,,,,,,,
3.48,,,,,,,,,,,
1.59,,,,,,,,,,,
40.48,,,,,,,,,,,
1.59,,,,,,,,,,,
3.44,,,,,,,,,,,
1.75,,,,,,,,,,,
3.44,,,,,,,,,,,
1.27,,,,,,,,,,,
6.27,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
2.86,,,,,,,,,,,
3.97,,,,,,,,,,,
3.97,,,,,,,,,,,
3,,,,,,,,,,,
6.27,,,,,,,,,,,
0.79,,,,,,,,,,,
1.59,,,,,,,,,,,
2.22,,,,,,,,,,,
6.08,,,,,,,,,,,
11.83,,,,,,,,,,,
11.33,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
4.11,,,,,,,,,,,
1.59,,,,,,,,,,,
1.59,,,,,,,,,,,
15.71,,,,,,,,,,,
4.11,,,,,,,,,,,
1.59,,,,,,,,,,,
6.08,,,,,,,,,,,
4.11,,,,,,,,,,,
3.49,,,,,,,,,,,
17.46,,,,,,,,,,,
29.29,,,,,,,,,,,
1.56,,,,,,,,,,,
1.1,,,,,,,,,,,
15.08,,,,,,,,,,,
4.44,,,,,,,,,,,
1.27,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
18.25,,,,,,,,,,,
1.75,,,,,,,,,,,
1.59,,,,,,,,,,,
2.06,,,,,,,,,,,
3,,,,,,,,,,,
0.37,,,,,,,,,,,
1.9,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
1.75,,,,,,,,,,,
2.06,,,,,,,,,,,
6.27,,,,,,,,,,,
1.75,,,,,,,,,,,
1.59,,,,,,,,,,,
0.38,,,,,,,,,,,
18.25,,,,,,,,,,,
5.56,,,,,,,,,,,
2.78,,,,,,,,,,,
5.56,,,,,,,,,,,
25.4,,,,,,,,,,,
2.86,,,,,,,,,,,
2.86,,,,,,,,,,,
0.79,,,,,,,,,,,
0.79,,,,,,,,,,,
2.62,,,,,,,,,,,
1.21,,,,,,,,,,,
1.27,,,,,,,,,,,
5.56,,,,,,,,,,,
1.21,,,,,,,,,,,
1.75,,,,,,,,,,,
17.46,,,,,,,,,,,
1.43,,,,,,,,,,,
1.59,,,,,,,,,,,
1.59,,,,,,,,,,,
2.7,,,,,,,,,,,
8.29,,,,,,,,,,,
1.27,,,,,,,,,,,
1.75,,,,,,,,,,,
0.38,,,,,,,,,,,
0.38,,,,,,,,,,,
0.38,,,,,,,,,,,
0.37,,,,,,,,,,,
0.38,,,,,,,,,,,
0.38,,,,,,,,,,,
0.38,,,,,,,,,,,
